versione,gruppo,phantom,n_fotoni,tempo_medio_s,tempo_std_s,h2d_medio_ms,kernel_medio_ms,d2h_medio_ms,modalita,flop_per_fotone,byte_per_fotone,gflops,banda_gbs,milioni_fotoni_s,intensita_aritmetica,speedup_vs_seq,speedup_e2e_vs_seq,speedup_vs_par,speedup_e2e_vs_par,speedup_relativo,p_amdahl,s_max_amdahl,gustafson
GPU_V2,BEERLAMBERT,1,50000000,0.081416,,0.945000,74.796000,5.675000,"('BEERLAMBERT', '1')",50,56,30.706495,34.391274,614.129901,0.892857,67.172951,67.172951,50.740985,50.740985,0.998735,0.985117,67.189912,258242.476811
GPU_V2,COMPLETA,0,100000,0.118777,,1.053000,111.998000,5.725000,"('COMPLETA', '0')",1220,56,1.027135,0.047147,0.841914,21.785714,13.911986,13.912103,6.686017,6.686073,1.881576,0.928123,13.912672,243301.968255
GPU_V2,COMPLETA,0,500000,0.433593,,1.034000,426.711000,5.849000,"('COMPLETA', '0')",1220,56,1.406849,0.064577,1.153155,21.785714,12.163019,12.162991,8.993330,8.993309,1.444996,0.917787,12.163537,240592.456598
GPU_V2,COMPLETA,0,1000000,0.668495,,1.033000,660.493000,6.968000,"('COMPLETA', '0')",1220,56,1.824995,0.083770,1.495898,21.785714,16.805300,16.805325,13.109311,13.109331,1.467167,0.940499,16.806313,246546.111521
GPU_V2,COMPLETA,0,5000000,2.991598,,1.154000,2985.102000,5.342000,"('COMPLETA', '0')",1220,56,2.039044,0.093595,1.671348,21.785714,18.721889,18.721889,15.027832,15.027832,1.551965,0.946590,18.723155,248142.994191
GPU_V2,COMPLETA,0,10000000,5.907697,,1.097000,5899.916000,6.684000,"('COMPLETA', '0')",1220,56,2.065103,0.094792,1.692707,21.785714,18.854403,18.854403,14.946428,14.946428,1.564536,0.946966,18.855687,248241.403859
GPU_V2,COMPLETA,0,50000000,29.168811,,1.003000,29161.072000,6.735000,"('COMPLETA', '0')",1220,56,2.091275,0.095993,1.714160,21.785714,19.360429,19.360430,15.269295,15.269296,1.571871,0.948352,19.361785,248604.804090
GPU_V2,COMPLETA,1,100000,0.089619,,1.010000,83.127000,5.482000,"('COMPLETA', '1')",1220,56,1.361318,0.062487,1.115835,21.785714,12.766924,12.766924,8.978978,8.978978,1.362178,0.921676,12.767498,241611.941976
GPU_V2,COMPLETA,1,500000,0.335859,,1.008000,329.469000,5.382000,"('COMPLETA', '1')",1220,56,1.816238,0.083368,1.488720,21.785714,18.555421,18.555421,12.581384,12.581384,1.574006,0.946111,18.556663,248017.376274
GPU_V2,COMPLETA,1,1000000,0.640488,,1.021000,634.010000,5.457000,"('COMPLETA', '1')",1220,56,1.904798,0.087433,1.561310,21.785714,18.323631,18.323631,15.638775,15.638775,1.617998,0.945429,18.324842,247838.665469
GPU_V2,COMPLETA,1,5000000,3.100089,,1.005000,3093.602000,5.482000,"('COMPLETA', '1')",1220,56,1.967685,0.090320,1.612857,21.785714,18.489313,18.489313,14.702439,14.702439,1.658165,0.945918,18.490547,247966.863974
GPU_V2,COMPLETA,1,10000000,6.138112,,1.031000,6131.209000,5.871000,"('COMPLETA', '1')",1220,56,1.987582,0.091233,1.629165,21.785714,18.888852,18.888855,14.975674,14.975677,1.673430,0.947062,18.890141,248266.761236
GPU_V2,COMPLETA,1,50000000,30.679688,,1.160000,30672.725000,5.802000,"('COMPLETA', '1')",1220,56,1.988286,0.091266,1.629743,21.785714,19.321588,19.321589,15.239986,15.239987,1.668032,0.948248,19.322938,248577.585136
GPU_V3,BEERLAMBERT,0,100000,0.005865,,0.002000,0.277000,5.586000,"('BEERLAMBERT', '0')",50,56,0.852515,0.954817,17.050298,0.892857,2.424552,2.424552,2.590111,2.590111,1.101961,0.587555,2.424566,154024.426160
GPU_V3,BEERLAMBERT,0,500000,0.006260,,0.003000,0.760000,5.497000,"('BEERLAMBERT', '0')",50,56,3.993610,4.472843,79.872204,0.892857,14.340096,14.340096,13.013099,13.013099,1.155272,0.930269,14.340826,243864.508516
GPU_V3,BEERLAMBERT,0,1000000,0.006953,,0.002000,1.466000,5.485000,"('BEERLAMBERT', '0')",50,56,7.191141,8.054077,143.822810,0.892857,19.271537,19.271537,15.971379,15.971379,1.125989,0.948114,19.272881,248542.348916
GPU_V3,BEERLAMBERT,0,5000000,0.013959,,0.003000,7.066000,6.890000,"('BEERLAMBERT', '0')",50,56,17.909592,20.058743,358.191848,0.892857,39.565728,39.565728,31.113404,31.113404,0.989612,0.974729,39.571550,255519.467958
GPU_V3,BEERLAMBERT,0,10000000,0.019845,,0.002000,14.031000,5.812000,"('BEERLAMBERT', '0')",50,56,25.195263,28.218695,503.905266,0.892857,53.635072,53.635072,42.214462,42.214462,1.072915,0.981359,53.645843,257257.451775
GPU_V3,BEERLAMBERT,0,50000000,0.076438,,0.002000,69.970000,6.466000,"('BEERLAMBERT', '0')",50,56,32.706246,36.630995,654.124912,0.892857,76.775792,76.775792,54.989416,54.989416,1.066825,0.986979,76.797992,258730.590423
GPU_V3,BEERLAMBERT,1,100000,0.006187,,0.002000,0.240000,5.945000,"('BEERLAMBERT', '1')",50,56,0.808146,0.905124,16.162922,0.892857,1.818005,1.818005,2.510425,2.510425,1.227736,0.449948,1.818011,117951.816501
GPU_V3,BEERLAMBERT,1,500000,0.006769,,0.061000,0.784000,5.924000,"('BEERLAMBERT', '1')",50,56,3.693308,4.136505,73.866155,0.892857,14.509824,14.509824,12.653125,12.653125,1.050229,0.931085,14.510572,244078.344166
GPU_V3,BEERLAMBERT,1,1000000,0.007010,,0.002000,1.477000,5.531000,"('BEERLAMBERT', '1')",50,56,7.132668,7.988588,142.653352,0.892857,15.774037,15.774037,12.646077,12.646077,1.144508,0.936608,15.774926,245526.299378
GPU_V3,BEERLAMBERT,1,5000000,0.013276,,0.002000,7.029000,6.245000,"('BEERLAMBERT', '1')",50,56,18.830973,21.090690,376.619464,0.892857,41.919328,41.919328,31.339485,31.339485,1.068695,0.976148,41.925873,255891.464655
GPU_V3,BEERLAMBERT,1,10000000,0.019584,,0.004000,14.090000,5.490000,"('BEERLAMBERT', '1')",50,56,25.531046,28.594771,510.620915,0.892857,56.855750,56.855750,44.565104,44.565104,1.126889,0.982415,56.867867,257534.314152
GPU_V3,BEERLAMBERT,1,50000000,0.078749,,0.004000,70.032000,8.714000,"('BEERLAMBERT', '1')",50,56,31.746435,35.556007,634.928698,0.892857,69.447904,69.447022,52.459434,52.458768,1.033867,0.985604,69.466042,258370.314451
GPU_V3,COMPLETA,0,100000,0.156410,,0.002000,151.005000,5.403000,"('COMPLETA', '0')",1220,56,0.780001,0.035803,0.639345,21.785714,10.564695,10.564695,5.077329,5.077329,0.759395,0.905349,10.565081,237331.790412
GPU_V3,COMPLETA,0,500000,0.357912,,0.002000,352.274000,5.636000,"('COMPLETA', '0')",1220,56,1.704330,0.078232,1.396991,21.785714,14.734907,14.734907,10.894983,10.894983,1.211451,0.932138,14.735679,244354.320921
GPU_V3,COMPLETA,0,1000000,0.539241,,0.003000,533.680000,5.557000,"('COMPLETA', '0')",1220,56,2.262439,0.103850,1.854458,21.785714,20.833466,20.833505,16.251563,16.251593,1.239696,0.952004,20.835042,249562.168083
GPU_V3,COMPLETA,0,5000000,2.392786,,0.004000,2387.236000,5.546000,"('COMPLETA', '0')",1220,56,2.549330,0.117018,2.089614,21.785714,23.407177,23.407177,18.788656,18.788656,1.250257,0.957282,23.409178,250945.700003
GPU_V3,COMPLETA,0,10000000,4.659251,,0.002000,4653.853000,5.397000,"('COMPLETA', '0')",1220,56,2.618447,0.120191,2.146268,21.785714,23.906439,23.906433,18.951322,18.951318,1.267950,0.958174,23.908528,251179.585859
GPU_V3,COMPLETA,0,50000000,22.672187,,0.003000,22665.799000,6.384000,"('COMPLETA', '0')",1220,56,2.690521,0.123499,2.205345,21.785714,24.908082,24.908083,19.644650,19.644651,1.286546,0.959856,24.910354,251620.544488
GPU_V3,COMPLETA,1,100000,0.115774,,0.004000,110.387000,5.383000,"('COMPLETA', '1')",1220,56,1.053777,0.048370,0.863752,21.785714,9.882694,9.882694,6.950498,6.950498,0.774086,0.898816,9.883029,235619.438906
GPU_V3,COMPLETA,1,500000,0.262214,,0.002000,256.764000,5.447000,"('COMPLETA', '1')",1220,56,2.326344,0.106783,1.906839,21.785714,23.766866,23.766957,16.114971,16.115032,1.280858,0.957928,23.768930,251115.190682
GPU_V3,COMPLETA,1,1000000,0.497950,,0.002000,492.536000,5.412000,"('COMPLETA', '1')",1220,56,2.450045,0.112461,2.008234,21.785714,23.568764,23.568764,20.115369,20.115369,1.286250,0.957575,23.570793,251022.482046
GPU_V3,COMPLETA,1,5000000,2.395859,,0.002000,2389.309000,6.548000,"('COMPLETA', '1')",1220,56,2.546060,0.116868,2.086934,21.785714,23.923994,23.923994,19.024019,19.024019,1.293936,0.958205,23.926087,251187.632389
GPU_V3,COMPLETA,1,10000000,4.756222,,0.003000,4750.588000,5.630000,"('COMPLETA', '1')",1220,56,2.565061,0.117741,2.102509,21.785714,24.376888,24.376893,19.326761,19.326765,1.290544,0.958981,24.379062,251391.207217
GPU_V3,COMPLETA,1,50000000,24.021654,,0.003000,24014.887000,6.764000,"('COMPLETA', '1')",1220,56,2.539376,0.116561,2.081455,21.785714,24.676914,24.676914,19.464023,19.464023,1.277168,0.959480,24.679143,251521.953718
